1,-2360.266488371474,-2385.045326572027,-2336.0113169012548,-2336.9994424123915,-2292.242534924048
2,-2229.5176868255044,-2308.151139164144,-2217.2252568029076,-2204.64559371643,-2173.714384843218
3,-2131.9306282602242,-2226.0959129917214,-2140.261255730068,-2135.5854837573647,-2081.0821892405647
4,-2112.708860189226,-2185.0750609294278,-2110.354097108257,-2098.778288422602,-2058.7097711647457
5,-2097.8796478011077,-2184.164990358528,-2100.294717547173,-2095.4334308640127,-2051.8956776131636
6,-2081.299824182901,-2176.9528023997173,-2087.3977643975863,-2091.9294183633288,-2041.278713830827
7,-2079.687934091307,-2162.9451327143524,-2092.208658532753,-2059.171441483501,-2045.0033458054777
8,-2084.123965438079,-2144.9322673727806,-2082.452686231166,-2056.24063525459,-2020.6692493094738
9,-2071.3613555397847,-2139.1811002748673,-2089.026915903042,-2065.8248769714146,-2026.3045824227008
10,-2066.9697787707337,-2138.99231393366,-2077.588010810759,-2057.9955905548777,-2015.1065730211235
