1,-4887.260862870256,-4219.426244779023,-3815.165583869155,-3762.907921570563,-3714.0407425853573
2,-3668.9670779853923,-3645.3199940320733,-3641.1500613921535,-3611.524263070585,-3595.2725614778815
3,-3599.508148993405,-3582.903669863135,-3572.0904560399517,-3578.032842412017,-3568.206836428737
4,-3564.472119189026,-3557.5557517134944,-3568.6598544954486,-3567.7344909732433,-3558.9652038528375
5,-4761.52285433489,-4070.959958259034,-3619.9854780978644,-3553.5167428396726,-3512.452564275568
6,-3479.3889563226962,-3463.315921777288,-3422.836586990594,-3417.306642200795,-3406.7794499241086
7,-3385.4585639412544,-3387.0939796653734,-3361.9086287170708,-3373.2520126951713,-3357.361999723301
8,-3347.2769707981583,-3357.293586223806,-3338.6845218188428,-3359.9886876050127,-3332.0906903208797
9,-4650.069240355939,-3956.3960462735477,-3561.2753414394338,-3514.5759339545057,-3447.6949240846884
10,-3432.0226159472354,-3393.175329956656,-3363.6281411278774,-3366.1386423116564,-3336.50823028231
11,-3342.991545668071,-3324.9731968330834,-3327.684886136961,-3325.8995547386035,-3310.2031774935544
12,-3289.3786044849426,-3298.8974529319894,-3294.6880627075334,-3302.471612456041,-3288.1211005164214
13,-4879.658927421512,-4160.750418806536,-3650.638342885049,-3580.456055767969,-3535.6569472882293
14,-3497.904170326287,-3478.825854982098,-3459.0015172595145,-3475.0473565447337,-3428.232030503602
15,-3440.6978944939656,-3408.9799519190274,-3421.6705594680866,-3411.5456612368966,-3411.197891439773
16,-3384.6870636969384,-3397.4909435252257,-3402.8094738055843,-3396.942748700001,-3372.201741708706
17,-4906.361387047929,-4178.698369496021,-3752.674396853918,-3708.428284219643,-3654.6954719726036
18,-3630.3826571463105,-3605.96750544786,-3580.4886631300164,-3571.056197570125,-3563.6616753221615
19,-3547.4988609029188,-3536.6247933669083,-3528.745542077296,-3535.746479879952,-3516.193071930807
20,-3512.4287505344287,-3518.5784142974444,-3509.775298951167,-3496.2558569899347,-3503.511279318036
